iter	Passed	Remaining
584	12605	13252
585	12625	13228
586	12646	13206
587	12665	13182
588	12686	13160
589	12706	13137
590	12729	13116
591	12749	13094
592	12771	13073
593	12792	13051
594	12813	13028
595	12833	13005
596	12852	12981
597	12872	12958
598	12892	12935
599	12912	12912
600	12932	12889
601	12954	12868
602	12975	12846
603	12996	12824
604	13016	12800
605	13036	12777
606	13055	12754
607	13075	12731
608	13095	12708
609	13115	12685
610	13137	12664
611	13157	12641
612	13177	12619
613	13197	12595
614	13217	12572
615	13236	12549
616	13255	12525
617	13275	12501
618	13294	12478
619	13316	12457
620	13336	12434
621	13356	12411
622	13376	12389
623	13390	12360
624	13409	12336
625	13428	12313
626	13447	12289
627	13466	12265
628	13486	12243
629	13507	12220
630	13520	12192
631	13541	12170
632	13562	12148
633	13582	12125
634	13602	12103
635	13622	12080
636	13641	12056
637	13660	12033
638	13681	12011
639	13702	11989
640	13724	11968
641	13744	11946
642	13764	11923
643	13783	11899
644	13794	11869
645	13815	11847
646	13834	11824
647	13854	11801
648	13875	11780
649	13896	11758
650	13916	11735
651	13939	11715
652	13961	11694
653	13981	11672
654	14000	11649
655	14019	11626
656	14039	11603
657	14058	11579
658	14078	11557
659	14097	11534
660	14116	11511
661	14135	11487
662	14155	11465
663	14174	11442
664	14193	11419
665	14213	11396
666	14234	11374
667	14253	11351
668	14273	11328
669	14293	11306
670	14312	11283
671	14335	11263
672	14354	11240
673	14372	11216
674	14395	11196
675	14414	11173
676	14434	11151
677	14454	11128
678	14474	11106
679	14493	11083
680	14513	11061
681	14534	11039
682	14554	11017
683	14573	10994
684	14593	10971
685	14613	10949
686	14633	10927
687	14652	10903
688	14671	10881
689	14690	10858
690	14713	10838
691	14734	10816
692	14758	10797
693	14777	10774
694	14797	10752
695	14817	10729
696	14837	10707
697	14856	10685
698	14876	10662
699	14897	10641
700	14917	10618
701	14938	10597
702	14958	10575
703	14979	10553
704	14998	10531
705	15019	10509
706	15039	10486
707	15058	10464
708	15078	10442
709	15098	10420
710	15119	10398
711	15139	10376
712	15160	10355
713	15181	10333
714	15202	10312
715	15222	10290
716	15241	10267
717	15260	10244
718	15280	10222
719	15300	10200
720	15320	10177
721	15338	10155
722	15358	10132
723	15377	10110
724	15397	10087
725	15416	10065
726	15436	10043
727	15457	10021
728	15477	9999
729	15496	9977
730	15515	9954
731	15534	9932
732	15554	9910
733	15575	9888
734	15594	9866
735	15614	9844
736	15634	9821
737	15654	9799
738	15672	9776
739	15691	9753
740	15710	9731
741	15732	9710
742	15751	9688
743	15771	9666
744	15793	9645
745	15813	9623
746	15833	9602
747	15854	9580
748	15874	9558
749	15895	9537
750	15914	9514
751	15933	9492
752	15953	9470
753	15974	9449
754	15995	9427
755	16015	9405
756	16034	9383
757	16054	9361
758	16074	9339
759	16095	9318
760	16115	9296
761	16135	9274
762	16156	9253
763	16177	9231
764	16197	9210
765	16216	9188
766	16236	9165
767	16256	9144
768	16276	9122
769	16297	9101
770	16316	9078
771	16338	9058
772	16359	9036
773	16380	9015
774	16401	8994
775	16421	8972
776	16441	8950
777	16461	8929
778	16482	8907
779	16502	8885
780	16523	8864
781	16542	8842
782	16562	8820
783	16582	8798
784	16601	8776
785	16620	8754
786	16639	8732
787	16658	8710
788	16677	8687
789	16698	8666
790	16719	8645
791	16742	8625
792	16761	8602
793	16784	8582
794	16806	8561
795	16824	8539
796	16844	8517
797	16864	8495
798	16884	8474
799	16903	8451
800	16922	8429
801	16941	8407
802	16963	8386
803	16983	8364
804	17006	8344
805	17029	8324
806	17048	8302
807	17068	8280
808	17088	8259
809	17109	8237
810	17128	8215
811	17148	8194
812	17168	8172
813	17190	8151
814	17212	8131
815	17231	8108
816	17251	8087
817	17272	8065
818	17291	8044
819	17312	8022
820	17332	8001
821	17352	7979
822	17371	7957
823	17391	7935
824	17411	7914
825	17431	7892
826	17450	7870
827	17471	7849
828	17491	7827
829	17510	7806
830	17530	7784
831	17550	7762
832	17570	7741
833	17592	7720
834	17613	7699
835	17633	7677
836	17654	7656
837	17675	7635
838	17695	7613
839	17715	7592
840	17734	7570
841	17753	7548
842	17775	7527
843	17795	7506
844	17814	7484
845	17834	7462
846	17852	7440
847	17871	7418
848	17889	7396
849	17910	7374
850	17930	7353
851	17949	7331
852	17969	7309
853	17988	7288
854	18007	7266
855	18029	7245
856	18048	7223
857	18068	7202
858	18087	7180
859	18106	7158
860	18126	7136
861	18145	7115
862	18165	7093
863	18184	7071
864	18205	7050
865	18223	7028
866	18242	7006
867	18264	6985
868	18283	6964
869	18302	6942
870	18322	6920
871	18342	6899
872	18362	6878
873	18383	6856
874	18401	6834
875	18423	6814
876	18442	6792
877	18463	6771
878	18483	6749
879	18501	6727
880	18520	6706
881	18539	6684
882	18560	6663
883	18580	6641
884	18601	6620
885	18622	6599
886	18642	6578
