Bed,Bath,Month,SubArea,Region,PropertyType
1,1,9,Sutrapur,Dhaka,Other
1,1,9,Middle Badda,Dhaka,Bachelor Seat
2,1,2,Gomostapara,Rangpur,Family
3,3,10,Rampura,Dhaka,Family
2,1,7,Maijdee,Chittagong,Family
2,1,9,Ati,Dhaka,Family
1,1,9,Noakhali Sadar,Chittagong,Family
3,3,6,Bagichagoun,Chittagong,Family
2,1,7,Bhadra,Rajshahi,Family
1,1,9,Dhanmondi,Dhaka,Bachelor Room
2,1,9,Laxmipur,Rajshahi,Family
4,4,9,Sector 3,Dhaka,Family
3,2,4,Noakhali Sadar,Chittagong,Family
2,2,8,Sonadanga,Khulna,Family
1,1,10,Sylhet Sadar,Sylhet,Bachelor Room
2,1,10,Dhanmondi 15,Dhaka,Family
2,1,10,Sylhet Sadar,Sylhet,Family
1,1,7,Aqua,Mymensingh,Bachelor Seat
3,2,8,Baliapukur,Rajshahi,Family
3,3,10,Basabo,Dhaka,Family
2,1,7,Kornafuli,Chittagong,Family
1,1,9,Banasree,Dhaka,Bachelor Room
3,2,9,Bokultola,Mymensingh,Family
3,3,9,Sector 10,Dhaka,Family
1,1,9,Rosulbag,Dhaka,Bachelor Seat
1,1,9,Katasur,Dhaka,Bachelor Seat
1,1,6,Moulovipara,Khulna,Bachelor Seat
0,1,9,Natun Bazar,Dhaka,Sublet
1,1,8,Shekhertek,Dhaka,Bachelor Room
1,1,11,Khilkhet,Dhaka,Bachelor Seat
3,2,11,Sylhet Sadar,Sylhet,Family
1,1,12,Rangpur Sadar,Rangpur,Family
0,1,3,Sylhet Sadar,Sylhet,Sublet
1,1,8,Aqua,Mymensingh,Bachelor Seat
3,3,4,Kachijhuli,Mymensingh,Family
2,2,8,Mirpur 1,Dhaka,Family
2,2,10,Moulvibazar Sadar,Sylhet,Family
1,1,9,Dhanmondi,Dhaka,Bachelor Room
1,1,9,Mohakhali,Dhaka,Bachelor Seat
3,3,8,Sayedabad,Dhaka,Family
0,1,9,Bhashantek,Dhaka,Sublet
1,1,9,Mirpur 12,Dhaka,Bachelor Seat
3,2,2,Barisal Sadar,Barishal,Family
1,1,10,Kuril,Dhaka,Bachelor Seat
1,1,9,Banasree,Dhaka,Bachelor Seat
2,2,7,Brahmanbaria Sadar,Chittagong,Family
2,2,3,Rupatali,Barishal,Family
3,3,8,Rangpur Sadar,Rangpur,Family
3,2,9,Cox's Bazar Sadar,Chittagong,Family
1,1,9,Badda DIT Project,Dhaka,Bachelor Room
1,1,9,Mirpur 1,Dhaka,Bachelor Seat
2,2,6,Gatepar,Mymensingh,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
2,2,3,Jamalpur Sadar,Mymensingh,Family
1,1,9,Uttarpara,Dhaka,Bachelor Seat
1,1,9,Noboudoy Housing,Dhaka,Bachelor Room
1,1,8,Kuril,Dhaka,Bachelor Seat
1,1,9,Sector 10,Dhaka,Bachelor Seat
2,1,9,Nandipara,Dhaka,Family
2,2,9,Nabinagar,Mymensingh,Bachelor Room
1,1,9,Rampura,Dhaka,Bachelor Seat
1,1,8,Badda DIT Project,Dhaka,Bachelor Seat
2,1,7,Sylhet Sadar,Sylhet,Family
2,2,4,Rangpur Sadar,Rangpur,Family
3,3,6,Khulna Sadar,Khulna,Family
1,1,3,Mymensingh Sadar,Mymensingh,Bachelor Room
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
0,1,10,Faydabad,Dhaka,Sublet
2,1,10,Gandaria,Dhaka,Family
2,1,4,Cox's Bazar Sadar,Chittagong,Family
2,1,8,Rangpur Sadar,Rangpur,Family
2,2,6,Munshi Para,Rangpur,Family
2,2,11,Sylhet Sadar,Sylhet,Family
1,1,9,Aftab Nagar,Dhaka,Bachelor Room
1,1,9,Malibag,Dhaka,Bachelor Seat
3,1,7,Kandi Para,Chittagong,Family
2,2,9,Badurtola,Rajshahi,Family
1,1,9,Mohakhali,Dhaka,Bachelor Seat
2,1,3,Kawnia,Barishal,Family
1,1,9,Kuril,Dhaka,Bachelor Room
1,1,7,Rose Valley RA,Chittagong,Bachelor Seat
1,1,9,ECB Chattar,Dhaka,Bachelor Room
3,2,8,Moulvibazar Sadar,Sylhet,Family
1,1,10,Satarkul,Dhaka,Bachelor Seat
2,1,7,Barisal Sadar,Barishal,Family
1,1,8,ECB Chattar,Dhaka,Bachelor Seat
2,2,8,Rangpur Sadar,Rangpur,Family
3,1,7,Natore Sadar,Rajshahi,Family
3,4,8,Jessore Sadar,Khulna,Family
1,1,10,Sector 11,Dhaka,Bachelor Seat
1,1,9,Azimpur,Dhaka,Bachelor Seat
1,1,10,Shangkar,Dhaka,Bachelor Room
2,2,9,Laxmipur,Rajshahi,Family
0,1,8,Comilla Sadar,Chittagong,Sublet
1,1,10,Katasur,Dhaka,Bachelor Seat
1,1,8,Aqua,Mymensingh,Family
1,1,6,Jessore Sadar,Khulna,Bachelor Room
2,2,8,Rupatali,Barishal,Family
3,2,7,Vatikhana,Barishal,Family
1,1,8,Sector 11,Dhaka,Bachelor Room
2,2,8,Sadhur More,Rajshahi,Family
3,2,3,Brahmanbaria Sadar,Chittagong,Family
2,1,11,Moulvibazar Sadar,Sylhet,Family
1,1,9,Mohakhali,Dhaka,Bachelor Seat
1,1,8,Diyabari,Dhaka,Bachelor Seat
1,1,7,Cox's Bazar Sadar,Chittagong,Family
1,1,6,Shankipara,Mymensingh,Bachelor Seat
0,1,8,Barisal Sadar,Barishal,Sublet
1,1,10,Kuril,Dhaka,Bachelor Seat
0,1,9,Future Town Housing,Dhaka,Sublet
1,1,9,Hatem Khan,Rajshahi,Bachelor Seat
1,1,9,West Dhanmondi,Dhaka,Bachelor Room
1,1,10,Nikunja 2,Dhaka,Bachelor Seat
0,1,9,Dhaka Uddan Housing,Dhaka,Sublet
2,2,9,Bahaddarhat,Chittagong,Family
1,1,9,Bahaddarhat,Chittagong,Bachelor Seat
1,1,12,Sylhet Sadar,Sylhet,Bachelor Seat
1,1,9,Mirpur 1,Dhaka,Bachelor Seat
1,1,7,Rajshahi Sadar,Rajshahi,Bachelor Room
2,1,9,Azimpur,Dhaka,Family
1,1,9,Nikunja 2,Dhaka,Bachelor Room
2,1,10,Maskanda,Mymensingh,Family
1,1,8,Shantibag,Dhaka,Bachelor Seat
1,1,11,Rangpur Sadar,Rangpur,Family
1,1,9,Jamalpur Sadar,Mymensingh,Other
1,1,8,South Banasree,Dhaka,Bachelor Room
2,2,9,Barisal Sadar,Barishal,Family
1,1,7,Barisal Sadar,Barishal,Family
1,1,9,Kushtia Sadar,Khulna,Bachelor Room
1,1,8,Bosila,Dhaka,Bachelor Room
1,1,9,Shahjahanpur,Dhaka,Bachelor Room
1,1,9,Taltola,Dhaka,Bachelor Seat
2,1,7,Khulna Sadar,Khulna,Family
1,1,10,Mohammadpur,Dhaka,Bachelor Room
2,2,12,Alomnagar,Rangpur,Family
0,1,3,Barisal Sadar,Barishal,Bachelor Seat
3,1,9,Nasirabad,Chittagong,Family
1,1,9,Sector 7,Dhaka,Bachelor Seat
1,1,9,Dinajpur Sadar,Rangpur,Family
2,1,9,Thakurgaon Sadar,Rangpur,Family
2,2,6,Brahmanbaria Sadar,Chittagong,Family
0,1,9,Natun Bazar,Dhaka,Sublet
4,4,9,Bashundhara R.A,Dhaka,Family
1,1,6,Moulvibazar Sadar,Sylhet,Bachelor Room
0,1,5,Mymensingh Sadar,Mymensingh,Bachelor Seat
1,1,9,Palashi,Dhaka,Bachelor Seat
3,2,8,Baijid bostami,Chittagong,Family
1,1,9,Sector 10,Dhaka,Bachelor Room
3,3,8,Beparipara,Dhaka,Family
1,1,6,Brahmanbaria Sadar,Chittagong,Family
1,1,10,Mirpur 1,Dhaka,Bachelor Room
1,1,9,Dinajpur Sadar,Rangpur,Family
2,2,6,Chandpur Sadar,Chittagong,Family
2,2,9,Chakdev,Rajshahi,Family
0,1,9,Sayeed Nagar,Dhaka,Sublet
1,1,9,Banasree,Dhaka,Bachelor Seat
1,1,9,Manda,Dhaka,Family
2,2,7,Rajshahi Sadar,Rajshahi,Family
2,1,7,North Mourail,Chittagong,Family
0,1,9,Shonir Akhra,Dhaka,Sublet
1,1,9,Satarkul,Dhaka,Bachelor Seat
2,2,9,Pabna Sadar,Rajshahi,Family
1,1,9,Sector 10,Dhaka,Bachelor Seat
2,1,9,Mohakhali,Dhaka,Family
1,1,9,Mohisbathan,Rajshahi,Family
0,1,9,Rangpur Sadar,Rangpur,Sublet
2,1,10,Mirpur,Dhaka,Family
3,1,10,Ghoramara,Rajshahi,Family
1,1,9,Rajshahi Sadar,Rajshahi,Bachelor Seat
2,2,8,Bibir Hat,Chittagong,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
2,2,1,Habiganj Sadar,Sylhet,Family
1,1,2,Rangpur Sadar,Rangpur,Bachelor Room
3,2,6,Rajshahi Sadar,Rajshahi,Family
2,2,3,Brahmanbaria Sadar,Chittagong,Family
0,1,9,Motijheel,Dhaka,Sublet
2,2,9,Shonir Akhra,Dhaka,Family
1,1,10,Sylhet Sadar,Sylhet,Bachelor Seat
1,1,8,Satkhira Sadar,Khulna,Other
4,2,11,Dinajpur Sadar,Rangpur,Family
1,1,8,Pirojpur Sadar,Barishal,Other
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
1,1,9,Rajshahi Sadar,Rajshahi,Family
2,1,10,Sylhet Sadar,Sylhet,Family
2,1,6,Jessore Sadar,Khulna,Family
2,2,8,Nathullabad,Barishal,Family
0,1,7,Boyra,Khulna,Sublet
2,1,8,Boyra,Khulna,Family
1,1,9,Rajshahi Sadar,Rajshahi,Other
0,1,9,Sector 11,Dhaka,Sublet
1,1,9,Bamnartek,Dhaka,Bachelor Seat
1,1,10,East Rampura,Dhaka,Bachelor Seat
2,1,8,Barisal Sadar,Barishal,Family
0,1,10,Sector 12,Dhaka,Sublet
3,2,11,Moulvibazar Sadar,Sylhet,Family
1,1,6,Maskanda,Mymensingh,Bachelor Room
2,1,2,Kashipur,Barishal,Family
2,1,1,Kashipur,Barishal,Family
3,3,9,Taltola,Dhaka,Family
2,2,9,South Banasree,Dhaka,Family
1,1,9,Shewrapara,Dhaka,Bachelor Seat
2,2,5,Pirojpur Sadar,Barishal,Family
2,2,2,Rupatali,Barishal,Family
1,1,10,Mirpur 13,Dhaka,Bachelor Seat
1,1,1,Rangpur Sadar,Rangpur,Bachelor Room
1,1,8,Sylhet Sadar,Sylhet,Bachelor Seat
0,1,9,Chandrima Model Town,Dhaka,Sublet
1,1,9,Noyanagor,Dhaka,Bachelor Seat
2,1,10,Habiganj Sadar,Sylhet,Family
3,2,9,Daulatpur,Chittagong,Family
1,1,7,Moulvibazar Sadar,Sylhet,Bachelor Room
2,1,12,Rangpur Sadar,Rangpur,Family
1,1,9,Binodpur,Rajshahi,Bachelor Seat
0,1,10,Shonir Akhra,Dhaka,Bachelor Seat
1,1,9,Kalabagan,Dhaka,Bachelor Seat
1,1,10,North Badda,Dhaka,Bachelor Seat
3,2,12,Rangpur Sadar,Rangpur,Family
1,1,10,Badda,Dhaka,Bachelor Seat
